	Fecha	Día de la Semana	Uds.V	Base	Impuestos	Neto	Venta/Uds	Docs	Venta/Doc
115	06/09/2024	5	92	8,675.8619	1,388.1381	10,064	109.39130435	27	372.74074074
116	05/09/2024	4	43	56,344.8275	9,015.1725	65,360	1,520	19	3,440
117	04/09/2024	3	121	5,164.3104	826.2896	5,990.6	49.50909091	33	181.53333333
118	03/09/2024	2	92	8,588.7934	1,374.2066	9,963	108.29347826	27	369
119	02/09/2024	1	132	13,948.2757	2,231.7243	16,180	122.57575758	30	539.33333333
120	01/09/2024	7	457	40,684.9994	6,509.6006	47,194.6	103.27045952	101	467.27326733
121	31/08/2024	6	774	85,627.759	13,700.441	99,328.2	128.33100775	186	534.02258065
122	30/08/2024	5	176	26,322.0686	4,211.5314	30,533.6	173.48636364	36	848.15555556
123	29/08/2024	4	34	3,527.5866	564.4134	4,092	120.35294118	10	409.2
124	28/08/2024	3	46	4,338.7932	694.2068	5,033	109.41304348	11	457.54545455
125	27/08/2024	2	84	8,774.1381	1,403.8619	10,178	121.16666667	19	535.68421053
126	26/08/2024	1	84	5,429.3101	868.6899	6,298	74.97619048	14	449.85714286
127	25/08/2024	7	482	39,834.4372	6,373.5128	46,207.95	95.86711618	116	398.34439655
128	24/08/2024	6	635	40,591.8949	6,494.7051	47,086.6	74.15212598	147	320.3170068
129	23/08/2024	5	519	47,839.8239	7,654.3761	55,494.2	106.92524085	132	420.41060606
130	22/08/2024	4	457	52,835.3438	8,453.6562	61,289	134.11159737	121	506.52066116
131	21/08/2024	3	284	18,809.4821	3,009.5179	21,819	76.82746479	87	250.79310345
132	20/08/2024	2	297	21,409.4818	3,425.5182	24,835	83.61952862	80	310.4375
133	19/08/2024	1	313	31,606.0336	5,056.9664	36,663	117.1341853	71	516.38028169
134	18/08/2024	7	524	49,974.1362	7,995.8638	57,970	110.62977099	129	449.37984496
135	17/08/2024	6	624	52,462.9279	8,394.0721	60,857	97.52724359	151	403.02649007
136	16/08/2024	5	361	28,786.2047	4,605.7953	33,392	92.49861496	93	359.05376344
137	15/08/2024	4	263	18,264.6543	2,922.3457	21,187	80.55893536	55	385.21818182
138	14/08/2024	3	282	27,076.7239	4,332.2761	31,409	111.37943262	71	442.38028169
139	13/08/2024	2	347	24,460.3442	3,913.6558	28,374	81.76945245	89	318.80898876
140	12/08/2024	1	353	25,845.6885	4,135.3115	29,981	84.93201133	80	374.7625
141	11/08/2024	7	664	49,320.6867	7,891.3133	57,212	86.1626506	160	357.575
142	10/08/2024	6	835	58,803.445	9,408.555	68,212	81.69101796	203	336.01970443
143	09/08/2024	5	338	29,958.6184	4,793.3816	34,752	102.81656805	89	390.47191011
144	08/08/2024	4	547	39,342.2397	6,294.7603	45,637	83.43144424	113	403.86725664
145	07/08/2024	3	222	22,351.7229	3,576.2771	25,928	116.79279279	64	405.125
146	06/08/2024	2	200	14,909.4823	2,385.5177	17,295	86.475	51	339.11764706
147	05/08/2024	1	262	19,749.9993	3,160.0007	22,910	87.44274809	68	336.91176471
148	04/08/2024	7	636	49,908.6175	7,985.3825	57,894	91.02830189	155	373.50967742
149	03/08/2024	6	646	48,560.3419	7,769.6581	56,330	87.19814241	175	321.88571429
150	02/08/2024	5	411	35,690.5149	5,710.4851	41,401	100.7323601	111	372.98198198
151	01/08/2024	4	223	15,484.4812	2,477.5188	17,962	80.5470852	74	242.72972973
152	31/07/2024	3	373	27,927.5951	4,468.4049	32,396	86.85254692	90	359.95555556
153	30/07/2024	2	268	24,275.8612	3,884.1388	28,160	105.07462687	68	414.11764706
154	29/07/2024	1	201	13,496.5503	2,159.4497	15,656	77.89054726	48	326.16666667
155	28/07/2024	7	666	51,753.4445	8,280.5555	60,034	90.14114114	154	389.83116883
156	27/07/2024	6	746	59,150.8668	9,464.1332	68,615	91.9772118	190	361.13157895
157	26/07/2024	5	507	44,193.0999	7,070.9001	51,264	101.11242604	130	394.33846154
158	25/07/2024	4	284	22,222.413	3,555.587	25,778	90.76760563	69	373.5942029
159	24/07/2024	3	588	41,296.5478	6,607.4522	47,904	81.46938776	109	439.48623853
160	23/07/2024	2	316	25,168.9649	4,027.0351	29,196	92.39240506	78	374.30769231
161	22/07/2024	1	252	20,929.3085	3,348.6915	24,278	96.34126984	67	362.35820896
162	21/07/2024	7	564	45,412.0671	7,265.9329	52,678	93.40070922	153	344.30065359
163	20/07/2024	6	680	58,511.2024	9,361.7976	67,873	99.81323529	199	341.07035176
164	19/07/2024	5	489	31,471.5495	5,035.4505	36,507	74.65644172	132	276.56818182
165	18/07/2024	4	388	27,562.0677	4,409.9323	31,972	82.40206186	105	304.4952381
166	17/07/2024	3	302	19,101.7232	3,056.2768	22,158	73.37086093	80	276.975
167	16/07/2024	2	575	54,349.1365	8,695.8635	63,045	109.64347826	139	453.56115108
168	15/07/2024	1	486	31,511.2142	5,041.7858	36,553	75.21193416	108	338.4537037
169	14/07/2024	7	350	28,957.7579	4,633.2421	33,591	95.97428571	94	357.35106383
170	13/07/2024	6	442	32,868.1035	5,258.8965	38,127	86.260181	127	300.21259843
171	12/07/2024	5	267	27,287.0692	4,365.9308	31,653	118.5505618	69	458.73913043
172	11/07/2024	4	297	26,838.793	4,294.207	31,133	104.82491582	93	334.76344086
173	10/07/2024	3	222	18,443.1037	2,950.8963	21,394	96.36936937	53	403.66037736
174	09/07/2024	2	206	15,068.9652	2,411.0348	17,480	84.85436893	68	257.05882353
175	08/07/2024	1	192	13,319.8374	2,131.1626	15,451	80.47395833	48	321.89583333
176	07/07/2024	7	508	59,073.2777	9,451.7223	68,525	134.89173228	140	489.46428571
177	06/07/2024	6	514	42,841.38	6,854.62	49,696	96.6848249	128	388.25
178	05/07/2024	5	200	18,708.6211	2,993.3789	21,702	108.51	60	361.7
179	04/07/2024	4	151	24,293.9656	3,887.0344	28,181	186.62913907	44	640.47727273
180	03/07/2024	3	216	31,221.5521	4,995.4479	36,217	167.6712963	72	503.01388889
181	02/07/2024	2	219	13,543.9658	2,167.0342	15,711	71.73972603	59	266.28813559
182	01/07/2024	1	192	16,036.2069	2,565.7931	18,602	96.88541667	55	338.21818182
183	30/06/2024	7	902	100,775.0002	16,123.9998	116,899	129.59977827	225	519.55111111
184	29/06/2024	6	568	54,838.7919	8,774.2081	63,613	111.99471831	149	426.93288591
185	28/06/2024	5	295	29,628.4491	4,740.5509	34,369	116.50508475	103	333.67961165
