	Fecha	Día de la Semana	Uds.V	Base	Impuestos	Neto	Venta/Uds	Docs	Venta/Doc
104	20/05/2025	2	52	30,262.09	4,841.91	35,104	675.07692308	24	1,462.66666667
105	19/05/2025	1	63	30,078.12	4,812.48	34,890.6	553.81904762	11	3,171.87272727
106	18/05/2025	7	226	24,428.28	3,908.52	28,336.8	125.3840708	47	602.9106383
107	17/05/2025	6	550	63,960.73	10,233.77	74,194.5	134.89909091	126	588.8452381
108	16/05/2025	5	475	81,659.73	13,065.52	94,725.25	199.42157895	98	966.58418367
109	15/05/2025	4	304	48,869	7,819	56,688	186.47368421	47	1,206.12765957
110	14/05/2025	3	45	10,787.07	1,725.93	12,513	278.06666667	10	1,251.3
111	13/05/2025	2	53	15,753.46	2,520.54	18,274	344.79245283	18	1,015.22222222
112	12/05/2025	1	75	15,789.64	2,526.36	18,316	244.21333333	11	1,665.09090909
113	11/05/2025	7	455	45,411.37	7,265.83	52,677.2	115.77406593	107	492.31028037
114	10/05/2025	6	272	22,497	3,599.5	26,096.5	95.94301471	49	532.58163265
115	09/05/2025	5	385	44,932.9	7,189.3	52,122.2	135.38233766	70	744.60285714
116	08/05/2025	4	91	13,580.18	2,172.82	15,753	173.10989011	15	1,050.2
117	07/05/2025	3	101	14,770.7	2,363.3	17,134	169.64356436	24	713.91666667
118	06/05/2025	2	27	1,378.46	220.54	1,599	59.22222222	7	228.42857143
119	05/05/2025	1	320	23,130.22	3,700.78	26,831	83.846875	76	353.03947368
120	04/05/2025	7	443	26,067.67	4,170.83	30,238.5	68.25846501	83	364.31927711
121	03/05/2025	6	428	35,072.25	5,611.55	40,683.8	95.05560748	97	419.42061856
122	02/05/2025	5	555	46,480.28	7,436.92	53,917.2	97.14810811	131	411.58167939
123	01/05/2025	4	736	75,174.56	12,027.84	87,202.4	118.48152174	157	555.42929936
124	30/04/2025	3	291	28,682.6	4,589.2	33,271.8	114.33608247	65	511.87384615
125	29/04/2025	2	122	28,582.76	4,573.24	33,156	271.7704918	18	1,842
126	28/04/2025	1	54	39,670.68	6,347.32	46,018	852.18518519	7	6,574
127	27/04/2025	7	288	21,053.47	3,368.53	24,422	84.79861111	60	407.03333333
128	26/04/2025	6	183	34,380.15	5,500.85	39,881	217.92896175	36	1,107.80555556
129	25/04/2025	5	247	23,500.86	3,760.14	27,261	110.36842105	39	699
130	24/04/2025	4	228	12,240.46	1,958.44	14,198.9	62.27587719	36	394.41388889
131	23/04/2025	3	199	21,684.58	3,469.52	25,154.1	126.40251256	40	628.8525
132	22/04/2025	2	120	19,657.78	3,145.22	22,803	190.025	26	877.03846154
133	21/04/2025	1	144	9,742.26	1,558.74	11,301	78.47916667	28	403.60714286
134	20/04/2025	7	16	1,331.04	212.96	1,544	96.5	6	257.33333333
135	19/04/2025	6	62	4,639.14	742.26	5,381.4	86.79677419	14	384.38571429
136	18/04/2025	5	77	7,661.11	1,225.79	8,886.9	115.41428571	20	444.345
137	17/04/2025	4	142	9,450	1,512	10,962	77.1971831	24	456.75
138	16/04/2025	3	65	5,587.1	893.9	6,481	99.70769231	17	381.23529412
139	15/04/2025	2	46	3,234.49	517.51	3,752	81.56521739	11	341.09090909
140	14/04/2025	1	40	2,917.25	466.75	3,384	84.6	10	338.4
141	13/04/2025	7	104	4,981.88	797.12	5,779	55.56730769	35	165.11428571
142	12/04/2025	6	135	7,564.66	1,210.34	8,775	65	30	292.5
142			42,614	6,178,118.65	988,496.94	7,166,615.59	168.1751440841038	9,026	793.9968524263239
