	Fecha	Día de la Semana	Uds.V	Base	Impuestos	Neto	Venta/Uds	Docs	Venta/Doc
95	29/05/2025	4	85	9,225.88	1,476.12	10,702	125.90588235	14	764.42857143
96	28/05/2025	3	176	25,880.17	4,140.83	30,021	170.57386364	39	769.76923077
97	27/05/2025	2	39	2,350	376	2,726	69.8974359	15	181.73333333
98	26/05/2025	1	36	1,981.9	317.1	2,299	63.86111111	6	383.16666667
99	25/05/2025	7	375	44,291.55	7,086.65	51,378.2	137.00853333	79	650.35696203
100	24/05/2025	6	379	42,817.44	6,850.76	49,668.2	131.05065963	89	558.06966292
101	23/05/2025	5	231	49,455.15	7,912.85	57,368	248.34632035	39	1,470.97435897
102	22/05/2025	4	164	14,523.27	2,323.73	16,847	102.72560976	29	580.93103448
103	21/05/2025	3	314	35,205.19	5,632.81	40,838	130.05732484	59	692.16949153
104	20/05/2025	2	131	17,813.81	2,850.19	20,664	157.74045802	25	826.56
105	19/05/2025	1	12	8,107.77	1,297.23	9,405	783.75	5	1,881
106	18/05/2025	7	253	33,274.98	5,324.02	38,599	152.56521739	69	559.4057971
107	17/05/2025	6	397	55,495.73	8,879.27	64,375	162.15365239	86	748.54651163
108	16/05/2025	5	329	42,214.71	6,754.34	48,969.05	148.84209726	77	635.96168831
109	15/05/2025	4	250	37,675.66	6,028.14	43,703.8	174.8152	56	780.425
110	14/05/2025	3	86	21,975.86	3,516.14	25,492	296.41860465	15	1,699.46666667
111	13/05/2025	2	81	14,661.65	2,345.85	17,007.5	209.9691358	14	1,214.82142857
112	12/05/2025	1	85	19,956.92	3,193.08	23,150	272.35294118	18	1,286.11111111
113	11/05/2025	7	353	56,424.31	9,027.89	65,452.2	185.41699717	79	828.50886076
114	10/05/2025	6	195	24,617.44	3,938.76	28,556.2	146.44205128	55	519.20363636
115	09/05/2025	5	235	37,042.46	5,926.74	42,969.2	182.84765957	59	728.29152542
116	08/05/2025	4	42	11,331.9	1,813.1	13,145	312.97619048	12	1,095.41666667
117	07/05/2025	3	204	30,827.74	4,932.46	35,760.2	175.29509804	59	606.10508475
118	06/05/2025	2	182	22,003.71	3,520.59	25,524.3	140.24340659	19	1,343.38421053
119	05/05/2025	1	455	47,229.35	7,556.65	54,786	120.40879121	90	608.73333333
120	04/05/2025	7	320	43,552.62	6,968.38	50,521	157.878125	73	692.06849315
121	03/05/2025	6	251	31,790.99	5,086.51	36,877.5	146.92231076	57	646.97368421
122	02/05/2025	5	468	58,194.51	9,311.09	67,505.6	144.24273504	90	750.06222222
123	01/05/2025	4	788	88,389.23	14,142.27	102,531.5	130.11611675	145	707.1137931
124	30/04/2025	3	577	53,573.96	8,571.84	62,145.8	107.705026	123	505.2504065
125	29/04/2025	2	198	19,181.08	3,068.92	22,250	112.37373737	54	412.03703704
126	28/04/2025	1	85	6,979.31	1,116.69	8,096	95.24705882	22	368
127	27/04/2025	7	324	38,687.47	6,190.03	44,877.5	138.51080247	74	606.4527027
128	26/04/2025	6	546	54,503.53	8,720.57	63,224.1	115.79505495	111	569.58648649
129	25/04/2025	5	303	32,859.37	5,257.43	38,116.8	125.7980198	73	522.14794521
130	24/04/2025	4	495	52,034.61	8,325.49	60,360.1	121.93959596	114	529.4745614
131	23/04/2025	3	352	34,466.93	5,514.67	39,981.6	113.58409091	85	470.37176471
132	22/04/2025	2	418	39,097.45	6,255.55	45,353	108.5	86	527.36046512
133	21/04/2025	1	205	25,634.5	4,101.5	29,736	145.05365854	41	725.26829268
134	20/04/2025	7	194	19,331.2	3,093	22,424.2	115.58865979	41	546.93170732
135	19/04/2025	6	234	32,606.06	5,216.94	37,823	161.63675214	63	600.36507937
136	18/04/2025	5	402	55,138.61	8,822.19	63,960.8	159.10646766	81	789.63950617
137	17/04/2025	4	664	60,478.47	9,676.53	70,155	105.65512048	125	561.24
138	16/04/2025	3	491	43,654.52	6,984.68	50,639.2	103.13482688	105	482.27809524
139	15/04/2025	2	383	47,157.28	7,545.12	54,702.4	142.82610966	96	569.81666667
140	14/04/2025	1	315	30,767.04	4,922.76	35,689.8	113.30095238	58	615.34137931
141	13/04/2025	7	283	29,644.48	4,743.12	34,387.6	121.51095406	57	603.29122807
142	12/04/2025	6	459	68,594.19	10,975.01	79,569.2	173.35337691	81	982.33580247
143	11/04/2025	5	234	27,119.14	4,339.06	31,458.2	134.43675214	53	593.5509434
144	10/04/2025	4	100	12,156.91	1,945.09	14,102	141.02	17	829.52941176
145	09/04/2025	3	86	31,818.11	5,090.89	36,909	429.1744186	18	2,050.5
146	08/04/2025	2	83	9,448.28	1,511.72	10,960	132.04819277	16	685
147	07/04/2025	1	56	18,143.11	2,902.89	21,046	375.82142857	11	1,913.27272727
148	06/04/2025	7	441	44,059.97	7,049.63	51,109.6	115.89478458	75	681.46133333
149	05/04/2025	6	410	37,231.6	5,957	43,188.6	105.33804878	77	560.89090909
150	04/04/2025	5	198	28,068.12	4,490.88	32,559	164.43939394	42	775.21428571
151	03/04/2025	4	58	17,592.25	2,814.75	20,407	351.84482759	11	1,855.18181818
